   ,PURNO,RCVNO,CO,LNO,DIV,PURID,PURPRW,VNDNO,RCVDAT,MTNO,DLSTK,QLMK,OVDMK,ANS,GFDAT,OVDDYS,MTPAYDAT,CO,PURNO,ORDLNO,IT,DIV,ORDDAT,KINDAT,KINEMP,PURPRW,DLSTK,MKDYS,INQVND,ORDVND,PURID,MTNO,SPECID,ORDCAQQTY,CAQUN,ORDCPRQTY,CPRUN,CPRUP,CUCY,CIFUP,EXR,OCRYTAMT,CIFTAMT,ACRCVQTY,ACCPRRCVQTY,RCVDAT,ENDMK,DLABMK,RCVWRFDAT,DLHNTPRTMK,CNTRNO,CSTIDX,MLDTAXR,ISPMK,BRND,CIFCIFR,FRMID,RASHMK,SCDDAT,PAYENDMK,NCRDAT,AGRSUPPIVDDOC,PAYID,IVID,PAYTRM,ORGI,DRSUPPMK,DRSUPPDATNUM,ANNOUPSUPPMK,SIGNMK,OVSHPR,OVDPUNR,OVDPUNRUPL,CNTRPEMK,JBSAFMK,DLSITE,HLISID,BIDCLASSDATE,WWWMK,APKID,EMGPURMK,PLADDR,COTYPE,PURSTDNO,BGUP,BGCUCY
37,MWW3Q5,W13320,LG,00,6,0,525,3002130899,0210104,WACMGH13,M620,,,0,0210118,,,LG,MWW3Q5,00,01,6,0201016,0201016,N000000028,525,M620,75,,3002130899,0,WACMGH13,1408-298B02047A000,2.000,PC,,,117000000.00000,VND,,,234000000.00,,2.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210104,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACMGH13,,
38,MWW3R2,W13311,LG,00,6,0,536,3002130899,0210104,WACSB93,M620,,,0,0210118,,,LG,MWW3R2,00,01,6,0201111,0201111,N000000028,536,M620,75,,3002130899,0,WACSB93,1431-41204701503,10.000,PC,,,114900000.00000,VND,,,1149000000.00,,10.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210128,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACSB93,,
39,MWW3R3,W13312,LG,00,6,0,525,3002130899,0210104,WACMGH28,M620,,,0,0210118,,,LG,MWW3R3,00,01,6,0201005,0201219,N000000028,525,M620,75,,3002130899,0,WACMGH28,1408-308B02047A000,4.000,PC,,,110600000.00000,VND,,,442400000.00,,4.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210109,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACMGH28,,
40,MW0GP0,W13427,LG,K0,4,6,LG24,3001987218,0210106,CHEIN135,BW40,,,0,0210118,,,LG,MW0GP0,K0,01,4,0201219,0201219,PR09,LG24,BW40,7,,3001987218,6,CHEIN135,1001-D0011B66A,2000.000,CA,,,6000.00000,VND,,,12000000.00,,2000.000,,0210326,E,,0210328,,HT40,,10,,Ho?nh s?n,,,,M,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
41,MW0F11,W13288,LG,K0,9,6,LG24,3001987218,0210104,CHEIN135,BW93,,,0,0210118,,,LG,MW0F11,K0,01,9,0201116,0201116,PR09,LG24,BW93,7,,3001987218,6,CHEIN135,1001-D0011B66A,250.000,CA,,,6000.00000,VND,,,1500000.00,,175.000,,0210322,,,0210324,,HT40,,10,,Ho?nh s?n,,,,M,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
42,MWSZ29,W13653,LG,K0,4,6,LG24,0201275452,0210109,LUBCQ104,BW40,,,0,0210118,,,LG,MWSZ29,K0,01,4,0201126,0201126,PR09,LG24,BW40,90,,0201275452,6,LUBCQ104,1124-7222200XL,800.000,LT,,,67000.00000,VND,,,53600000.00,,800.000,0.000,0210109,E,,0210112,,LG16,,10,,Idemitsu,,,,0210301,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,LUBCQ104,70000.00000,VND
43,MW0GP0,W13254,LG,K0,4,6,LG24,3001987218,0210102,CHEIN135,BW40,,,0,0210118,,,LG,MW0GP0,K0,01,4,0201219,0201219,PR09,LG24,BW40,7,,3001987218,6,CHEIN135,1001-D0011B66A,2000.000,CA,,,6000.00000,VND,,,12000000.00,,2000.000,,0210326,E,,0210328,,HT40,,10,,Ho?nh s?n,,,,M,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
44,MWRJ39,W13605,LG,K0,6,6,LG24,0201275452,0210108,LUBLGQ39,MW60,,,0,0210118,,,LG,MWRJ39,K0,01,6,0201012,0201012,PR09,LG24,MW60,90,,0201275452,6,LUBLGQ39,1122-H055180EP1,106.000,TK,,,11900000.00000,VND,,,1261400000.00,,106.000,0.000,0210108,E,,0210110,,HIDM,,10,,FORMOSA,,,,0210113,,,,,A,,TH,,,,,,,,Y,,,,,E,,,,,,20000000.00000,VND
45,MW0FH8,W14000,LG,K0,7,6,LG24,3001987218,0210114,CHEIN135,B741,,,0,0210118,,,LG,MW0FH8,K0,01,7,0201126,0201126,PR09,LG24,B741,7,,3001987218,6,CHEIN135,1001-D0011B66A,100.000,CA,,,6000.00000,VND,,,600000.00,,100.000,,0210114,E,,0210116,,HT40,,10,,Ho?nh s?n,,,,0210111,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
46,MW0D46,W13724,LG,K0,9,6,LG24,3001987218,0210111,CHEIN135,BW93,,,0,0210118,,,LG,MW0D46,K0,01,9,0201013,0201013,PR09,LG24,BW93,7,,3001987218,6,CHEIN135,1001-D0011B66A,300.000,CA,,,6000.00000,VND,,,1800000.00,,300.000,,0210312,E,,0210314,,HT40,,10,,Ho?nh s?n,,,,M,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
